timestamp,center_latitude,center_longitude
2024-11-06T18:31:59.250357,37.777668,-122.430385
timestamp,center_latitude,center_longitude
timestamp,center_latitude,center_longitude
timestamp,center_latitude,center_longitude
2024-11-06T18:34:54.721812,37.77455756461234,-122.41823242544739
2024-11-06T18:34:56.743856,37.775175,-122.417962
2024-11-06T18:34:58.746629,37.77629390909096,-122.4179740784314
2024-11-06T18:35:00.748060,37.776087723809546,-122.41599168190469
2024-11-06T18:35:02.751527,37.77648240610328,-122.41570160328638
2024-11-06T18:35:04.766983,37.77706317777777,-122.41408346388896
2024-11-06T18:35:06.779557,37.778248153153136,-122.41394993693696
2024-11-06T18:35:08.780481,37.778611973015835,-122.41360489365084
2024-11-06T18:35:10.781256,37.77847794933331,-122.41314743599992
2024-11-06T18:35:12.781617,37.77775547732991,-122.41361472418137
2024-11-06T18:35:14.782407,37.77890903466666,-122.41255405066671
2024-11-06T18:35:16.784871,37.77702763456788,-122.41522223086425
2024-11-06T18:35:18.786096,37.778707609209015,-122.41390051357743
2024-11-06T18:35:20.786074,37.77955425930679,-122.41569933247764
2024-11-06T18:35:22.788971,37.779705654513926,-122.41714541840277
2024-11-06T18:35:24.791456,37.778352484460726,-122.41690820109683
2024-11-06T18:35:26.794531,37.779195332129916,-122.41545239530684
2024-11-06T18:35:28.794795,37.7800020657084,-122.41418329568799
2024-11-06T18:35:30.795053,37.77888810769228,-122.41413281346158
2024-11-06T18:35:32.796071,37.77809851875805,-122.41226943078917
2024-11-06T18:35:34.797763,37.777489159951124,-122.41134139560441
2024-11-06T18:35:36.798930,37.77659270783848,-122.41015333372918
2024-11-06T18:35:38.800702,37.77731191273591,-122.40997289033022
2024-11-06T18:35:40.800856,37.77689952009458,-122.4118413132389
2024-11-06T18:35:42.803167,37.77690780304804,-122.41386112309502
2024-11-06T18:35:44.805247,37.776147363636404,-122.41385044982306
2024-11-06T18:35:46.805573,37.77667408210786,-122.41236192401945
2024-11-06T18:35:48.808090,37.777530925518974,-122.41248581684961
2024-11-06T18:35:50.813758,37.77861338871473,-122.41555731034481
2024-11-06T18:35:52.845792,37.777990092592596,-122.41580703703715
