id,value,timestamp,consumer_id
4,Message 4,1730803874.2729363,2
6,Message 6,1730803874.4776027,2
7,Message 7,1730803874.579058,2
8,Message 8,1730803874.681112,2
12,Message 12,1730803875.0906625,2
16,Message 16,1730803875.5043383,2
18,Message 18,1730803875.7086668,2
19,Message 19,1730803875.8110695,2
28,Message 28,1730803876.7330098,2
29,Message 29,1730803876.8351,2
31,Message 31,1730803877.0401425,2
33,Message 33,1730803877.244024,2
36,Message 36,1730803877.5508943,2
38,Message 38,1730803877.787414,2
45,Message 45,1730803878.525191,2
47,Message 47,1730803878.729995,2
48,Message 48,1730803878.8345473,2
51,Message 51,1730803879.1432867,2
52,Message 52,1730803879.2463145,2
53,Message 53,1730803879.3484914,2
57,Message 57,1730803879.7581983,2
59,Message 59,1730803879.962592,2
63,Message 63,1730803880.3716393,2
64,Message 64,1730803880.4739878,2
69,Message 69,1730803880.985643,2
72,Message 72,1730803881.2927158,2
76,Message 76,1730803881.7042222,2
77,Message 77,1730803881.8082547,2
78,Message 78,1730803881.9109159,2
80,Message 80,1730803882.1209414,2
84,Message 84,1730803882.5353646,2
85,Message 85,1730803882.6375167,2
88,Message 88,1730803882.9470744,2
89,Message 89,1730803883.0501459,2
90,Message 90,1730803883.154133,2
94,Message 94,1730803883.5666735,2
