id,value,timestamp,consumer_id
9,Message 9,1730803874.7835345,3
10,Message 10,1730803874.8863888,3
11,Message 11,1730803874.9882913,3
20,Message 20,1730803875.9130192,3
21,Message 21,1730803876.0176287,3
26,Message 26,1730803876.527866,3
30,Message 30,1730803876.9373093,3
34,Message 34,1730803877.345679,3
39,Message 39,1730803877.889434,3
42,Message 42,1730803878.204093,3
43,Message 43,1730803878.3175051,3
49,Message 49,1730803878.936336,3
50,Message 50,1730803879.0402517,3
54,Message 54,1730803879.4506588,3
60,Message 60,1730803880.0645318,3
62,Message 62,1730803880.2690191,3
67,Message 67,1730803880.7825315,3
70,Message 70,1730803881.0878692,3
73,Message 73,1730803881.3956723,3
74,Message 74,1730803881.4983814,3
81,Message 81,1730803882.2248816,3
91,Message 91,1730803883.2576275,3
92,Message 92,1730803883.3596866,3
93,Message 93,1730803883.462667,3
97,Message 97,1730803883.8780324,3
98,Message 98,1730803883.982213,3
